Reviewer username or name,Rating (number),Review (text),Review image,Review date (date time),Review like (number like on that review),Product name,Product category,Product price,Total sold,Total rating,Overall rating,Rating summery,product image url,seller name,Positive Seller Ratings,Seller location,Data source (link of the page),Processing time (Current timestamp)
N***.,5,ajk e hat a palam Alhamdulillah same to same prodact ta e desa selar🥰thank you so much for theka r8 prodact...akhon bebohar kre dakhar pala..kaj hole abar o oder krbo in sha allah😚💟,,28 Aug 2024,15,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
1***6,5,একটা কিনেছি ব্যবহার করতেছি এখনো কিছু উপায় নাই এখন কয়টা বাজে সঠিক জানিনা,,24 Mar 2025,1,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
0***8,5,"অনেক দিন ব্যবহার করার পর রিভিউ দিচ্ছি খুব এই ভালো কাজ করেছে যেমনটা দরকার ছিলোও ঠিক তেমনি ভালো কাজ করছে সব দিক দিয়ে ঠিক রয়েছে সকলে নিয়ে ব্যবহার করে দেখিতে পারেন সেরা ভালো মানের প্রোডাক্ট খুব ভালো কাজ করেছে ধন্যবাদ দারাজকে ভালো মানের তেল দেওয়ার জন্য নিতে পারেন সাথে ডেলিভারি সার্ভিস ভালো ছিলো।।।।।।।।।।।।।।,।।।।।।।।।।,।।,।,।,।,।,।,।,।,।,।,।,।।,।,।,।,।,,।।,।,।।।,।,।,।,।,।,।।,।,।,,।,।,।।,।,।,,,।।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।।,,।।,।,।,।,।,।,।,।,।,।।,।,,।।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।,।,।,।।,।,।,।,।।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।।,।,।,।,।,।,,।।,।,।,।,।।,,।।,।,।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।,।।,
,
,।,।।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।।।,।,।,।,।,।,।,।,।।,।।,
,।,।,।,।,।,।,।,।,।,।,,।,।
,,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।।,,।,,।।,।,।,।,।,।।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।,।,।,।,।,।।,।।।।।।।।।।।,।।,,।,।,।,।,।,।,।,।,।,।,।,।।,।,।,।,।,।,।,।,।,।,।,।,।,।।।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,।,",,05 Aug 2024,10,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
0***8,5,"খুব এই ভালো কাজ করে প্রোডাক্ট এর মান কোয়ালিটি সব দিক দিয়ে ঠিক রয়েছে যেমনটা টা দরকার ছিলোও ঠিক তেমনি পেয়েছি ভালো কোয়ালিটি সম্পন্ন প্রোডাক্ট পেয়েছি নিতে পারেন সবাই খুব এই ভালো অসংখ্য ধন্যবাদ আপনার এবং সেলারকে সঠিক ভালোও মানের প্রোডাক্ট দেওয়ার জন্য সাথে ডেলিভারি সার্ভিস খুব ভালো ছিলো ফাস্ট ডেলিভারি পেয়েছি নিতে পারেন সবাই সাথে ডেলিভারি ম্যান এর ব্যবহার খুব ভালো ছিলো ধন্যবাদ।।।।।।।।।,।।।।।।।।।।।।,।,।,।,।।,।,।,।,।,।.।,।।,।,।,।,।,।,।,।,।।,।,।,।,।,।।,।,।,।,।,।।,।,।.,।।,।,।,।,।..।.।,।,।.।.,.,.,.,.,.,.,..,.,.,..,.,.,.,..,.,..,., .,.,.,..,..,.,..,,..,.,.,.,.,..,.,.,..,.,.,..,.,,.,.,.,.,.,..,.,.,.,=,=,=,=,=,=,=,=,=,=,==,=,=,=,=,=,==,=,=,=,=,=,=,=,=,==,=,=,=,==,=,=,=,==,=,==,
,=.=.=.000000000000000008080808080808088080
.,,.=,=,=,=,=,=,=,==,=,=,=,=,=.,.,=,==,=,== .,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,,...,.,.,.,..,.,.,.,..,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,.,.,=,=,=,=,==,==,=,=,=,=,=,=,=,=,=,=,.।,।,।,।।,।,।,,।,।।,।,।.......,,..,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,. ,.,.,.,.,..,.,.,.,.,..,.,.,.,.,.,.,.,,.,..,.,.,.,.,.,.,.,.,..,.,.,.,..,",,05 Aug 2024,10,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
মারিয়াম,5,"ভালো করে চোখ দিয়ে দেখুন বোঝায় যাচ্ছে পরিমান 
দ্বিতীয় বার অর্ডার দিলে একই dissapoint কাজ করবেন নাহ আসা রাখি,,

faty কমবে টা যদি সত্যি হয় তাহলে অবশ্যই আরেকবার নিবোই, i hope so",,01 Feb 2025,2,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
1***1,5,মাত্রই হাতে পেলাম আশা করছি প্রোডাক্টটি ভালো হবে ব্যবহার করে আবার একটা রিভিউ দিব ইনশাল্লাহ মনে হচ্ছে ভালই হবে কারণ সবার রিভিউ দেখে আমিও নিয়েছি আই হোপ ভালো হলেই ভালো,https://lzd-u.slatic.net/3f5baac811e248e59bd0404f93179eb1_217135019fc546f99c7280f75f487397.jpg,08 Nov 2024,1,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
1***9,5,"হাতে পেয়েছি আজকে,, অনেক লেইট করে পার্সেল আসছে,, কখনো এমন হয়নি,, এই প্রথম হয়ছে😐 আচ্ছা থাক অর্ডার পাইছি এখন ব্যবহার করার পরে বুঝতে পারবো কেমন কাজ করে 😊",,26 Oct 2024,0,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
M***.,5,"এটা হাতে পেলাম এবার ব্যবহার করে দেকব মালটা ভালো কিনা খারাপ মালটা যদি ভালো হয় আবার নিব ইনশাআল্লাহ



কাজ করেনা বাজে পুরাক",,29 Oct 2024,11,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
Mohd K.,5,"ordered three bottles only one was sealed, other two seems changed contents as no seal . so I lost trust in the company",,08 Mar 2025,0,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
𝓜𝓓 ?.,5,"যেমন টা দেখেছি তেমন টা পেয়েছি.. আলহামদুলিল্লাহ্

আমি ব্যাবহার করার পরে রিভিউ দিচ্ছি অসাধারণ একটি প্রোডাক্ট

.....",https://lzd-u.slatic.net/e4f21860cb5b4dd9b781aea767c98adc_a52dc3b5c3d948daa0562d3230164a6a.jpg,24 Sep 2024,1,"Ginger Essential Oil,pet komanor tel/oil Ginger oil","Health & Beauty, Bath & Body, Bath & Body Accessories",89.0,2,176,,,"https://img.drz.lazcdn.com/static/bd/p/40037cfc4e1f1afec4211b765487d55a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/307d8f5a6a72717b6d9a5d5f55f2aca7.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/df360c052e0678e5eb3290c4b946cb12.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d5f6dfb3a13b6590e5d6c4734e15f17a.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/da7ece40ee0a68997a082f8ac1f687ba.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/48e8864cc3d0dcfdb72c3e56bcc10478.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/c0ae25437b65e778801464ebccd975e0.jpg_120x120q80.jpg_.webp, https://img.drz.lazcdn.com/static/bd/p/d12ec0b65523cd192b0e57ba590809bf.jpg_120x120q80.jpg_.webp",Buy One Shopping,83%,Dhaka,https://www.daraz.com.bd/products/ginger-essential-oilpet-komanor-teloil-i326195582.html,2025-09-21T03:25:37
